RTO,OBV Fair Value,OBV good value,OBV verygood value,OBV Excellent Value,Health Score,URL
MH 04,"₹1,39,944 - ₹1,48,600
 Price range for this vehicle in Fair condition","₹1,43,532 - ₹1,52,411
 Price range for this vehicle in Good condition","₹1,47,120 - ₹1,56,220
 Price range for this vehicle in Very Good condition","₹1,50,709 - ₹1,60,031
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 01,"₹3,25,244 - ₹3,45,362
 Price range for this vehicle in Fair condition","₹3,33,584 - ₹3,54,218
 Price range for this vehicle in Good condition","₹3,41,923 - ₹3,63,073
 Price range for this vehicle in Very Good condition","₹3,50,264 - ₹3,71,929
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹5,70,191 - ₹6,05,460
 Price range for this vehicle in Fair condition","₹5,84,811 - ₹6,20,985
 Price range for this vehicle in Good condition","₹5,99,432 - ₹6,36,510
 Price range for this vehicle in Very Good condition","₹6,14,051 - ₹6,52,034
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹3,29,987 - ₹3,50,398
 Price range for this vehicle in Fair condition","₹3,38,448 - ₹3,59,383
 Price range for this vehicle in Good condition","₹3,46,910 - ₹3,68,368
 Price range for this vehicle in Very Good condition","₹3,55,371 - ₹3,77,353
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹3,90,012 - ₹4,14,137
 Price range for this vehicle in Fair condition","₹4,00,013 - ₹4,24,756
 Price range for this vehicle in Good condition","₹4,10,012 - ₹4,35,374
 Price range for this vehicle in Very Good condition","₹4,20,013 - ₹4,45,993
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 04,"₹1,23,785 - ₹1,31,442
 Price range for this vehicle in Fair condition","₹1,26,959 - ₹1,34,812
 Price range for this vehicle in Good condition","₹1,30,133 - ₹1,38,183
 Price range for this vehicle in Very Good condition","₹1,33,307 - ₹1,41,552
 Price range for this vehicle in Excellent condition","6



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 01,"₹3,15,235 - ₹3,34,734
 Price range for this vehicle in Fair condition","₹3,23,318 - ₹3,43,317
 Price range for this vehicle in Good condition","₹3,31,400 - ₹3,51,899
 Price range for this vehicle in Very Good condition","₹3,39,483 - ₹3,60,482
 Price range for this vehicle in Excellent condition","8.4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 01,"₹4,15,576 - ₹4,41,281
 Price range for this vehicle in Fair condition","₹4,26,232 - ₹4,52,596
 Price range for this vehicle in Good condition","₹4,36,888 - ₹4,63,912
 Price range for this vehicle in Very Good condition","₹4,47,544 - ₹4,75,226
 Price range for this vehicle in Excellent condition","7.3



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 01,"₹2,18,213 - ₹2,31,711
 Price range for this vehicle in Fair condition","₹2,23,808 - ₹2,37,652
 Price range for this vehicle in Good condition","₹2,29,404 - ₹2,43,594
 Price range for this vehicle in Very Good condition","₹2,34,999 - ₹2,49,535
 Price range for this vehicle in Excellent condition","6



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
